H	DW Extract Job Number(work on this)	2018-11-15 17:20:18.312816	20181115/mai50_z305_20181115_172016_1.tsv
H	DATABASE_ACTION   TRIGGER_KEY   Z305_REC_KEY	Z305_OPEN_DATE	Z305_UPDATE_DATE	Z305_BOR_TYPE	Z305_BOR_STATUS	Z305_REGISTRATION_DATE	Z305_EXPIRY_DATE	Z305_NOTE	Z305_LOAN_PERMISSION	Z305_PHOTO_PERMISSION	Z305_OVER_PERMISSION	Z305_MULTI_HOLD	Z305_LOAN_CHECK	Z305_HOLD_PERMISSION	Z305_RENEW_PERMISSION	Z305_RR_PERMISSION	Z305_IGNORE_LATE_RETURN	Z305_LAST_ACTIVITY_DATE	Z305_PHOTO_CHARGE	Z305_NO_LOAN	Z305_NO_HOLD	Z305_NO_PHOTO	Z305_NO_CASH	Z305_CASH_LIMIT	Z305_CREDIT_DEBIT	Z305_SUM	Z305_DELINQ_1	Z305_DELINQ_N_1	Z305_DELINQ_1_UPDATE_DATE	Z305_DELINQ_1_CAT_NAME	Z305_DELINQ_2	Z305_DELINQ_N_2	Z305_DELINQ_2_UPDATE_DATE	Z305_DELINQ_2_CAT_NAME	Z305_DELINQ_3	Z305_DELINQ_N_3	Z305_DELINQ_3_UPDATE_DATE	Z305_DELINQ_3_CAT_NAME	Z305_FIELD_1	Z305_FIELD_2	Z305_FIELD_3	Z305_HOLD_ON_SHELF	Z305_END_BLOCK_DATE	Z305_BOOKING_PERMISSION	Z305_BOOKING_IGNORE_HOURS	Z305_RUSH_CAT_REQUEST	Z305_UPD_TIME_STAMP
D	U	000000125291ML	000000125291ML   	19910709	20181114	LF	11	00000000	20200630		Y	N	Y	N	Y	Y	Y	N	N	20181114	C	0045	0001	0000	0013	0000000000		0000000000	00		00000000		00		00000000		00		00000000					N	00000000	N	N	N	201811140909151
D	U	000000126929ML	000000126929ML   	19990823	20181114	LF	11	00000000	20200630		Y	N	Y	N	Y	Y	Y	N	N	20181114	C	0000	0000	0000	0000	0000000000		0000000000	00		00000000		00		00000000		00		00000000					N	00000000	N	N	N	201811141615494
D	U	000000127253MAI50	000000127253MAI50	20021112	20181113		29	00000000	20200520		Y	N	Y	N	Y	Y	Y	N	N	20181018	C	0001	0000	0000	0000	0000000000		0000000000	00		00000000		00		00000000		00		00000000					N	00000000	N	N	N	201810181533124
D	U	000000127422BL	000000127422BL   	20090520	20181115		11	00000000	20230930		Y	N	Y	N	Y	Y	Y	N	N	20180702	C	0000	0000	0000	0000	0000000000		0000000000	00		00000000		00		00000000		00		00000000					N	00000000	N	N	N	201811150007248
D	U	000000128093BL	000000128093BL   	20030926	20181115		11	00000000	20230930		Y	N	Y	N	Y	Y	Y	N	N	20180430	C	0000	0000	0000	0000	0000000000		0000000000	00		20030926	C4BLSUPV  	00		20030926	C4BLSUPV  	00		20030926	C4BLSUPV  				N	00000000	N	N	N	201811150009061
D	U	000000128802ML	000000128802ML   	19890816	20181114	LF	11	00000000	20200630		Y	N	Y	N	Y	Y	Y	N	N	20181114	C	0000	0000	0000	0000	0000000000		0000000000	00		00000000		00		00000000		00		00000000					Y	00000000	N	N	N	201811141200188
D	U	000000129849BC	000000129849BC   	20080120	20181114		11	00000000	20200209		Y	N	Y	N	Y	Y	Y	N	N	20181114	C	0000	0000	0000	0000	0000000000		0000000000	00		20080120	C3BCSTUD  	00		20080120	C3BCSTUD  	00		20080120	C3BCSTUD  				N	00000000	N	N	N	201811141959054
D	U	000000133553BL	000000133553BL   	20090520	20181115		11	00000000	20230930		Y	N	Y	N	Y	Y	Y	N	N	20171109	C	0000	0000	0000	0000	0000000000		0000000000	00		00000000		00		00000000		00		00000000					N	00000000	N	N	N	201811150008512
D	U	000000149984UB	000000149984UB   	19920608	20181115		11	00000000	20190401		Y	N	Y	N	Y	Y	Y	N	N	20180328	C	0000	0000	0000	0000	0000000000		0000000000	00		00000000		00		00000000		00		00000000					N	00000000	N	N	N	201811150010040
D	U	000000157197BC	000000157197BC   	19950131	20181115		11	00000000	20200215		Y	N	Y	N	Y	Y	Y	N	N	20171207	C	0000	0000	0000	0000	0000000000		0000000000	00		00000000		00		00000000		00		00000000					N	00000000	N	N	N	201811150015255
